model,block,timestep_fraction,latent_idx,frequency,mean_concentration,rank,is_top32
SD3,transformer_blocks.20,0.0,2428,5,0.6656047642230988,5,True
SD3,transformer_blocks.20,0.0,805,3,0.6703789631525675,6,True
SD3,transformer_blocks.20,0.0,1101,1,0.6820285022258759,7,True
SD3,transformer_blocks.20,0.5,850,17,0.678702769910588,1,True
SD3,transformer_blocks.20,0.5,325,13,0.6641711638523982,2,True
SD3,transformer_blocks.20,0.5,2428,11,0.6722850068048998,3,True
SD3,transformer_blocks.20,0.5,3601,10,0.6856939285993576,4,True
SD3,transformer_blocks.20,0.5,1127,9,0.6274585558308495,5,True
SD3,transformer_blocks.20,0.5,1105,8,0.6876786053180695,6,True
SD3,transformer_blocks.20,0.5,3454,7,0.6448959069592612,7,True
SD3,transformer_blocks.20,0.5,798,6,0.6629875600337982,8,True
SD3,transformer_blocks.20,0.5,2216,5,0.7317050009965896,9,True
SD3,transformer_blocks.20,0.5,2799,5,0.6653520226478576,10,True
SD3,transformer_blocks.20,0.5,3876,5,0.6651888728141785,11,True
SD3,transformer_blocks.20,0.5,2937,5,0.6490503430366517,12,True
SD3,transformer_blocks.20,0.5,3717,5,0.6437365591526032,13,True
SD3,transformer_blocks.20,0.5,3723,3,0.672664612531662,14,True
SD3,transformer_blocks.20,0.5,3221,3,0.6553552746772766,15,True
SD3,transformer_blocks.20,0.5,1101,2,0.7004939466714859,16,True
SD3,transformer_blocks.20,0.5,322,2,0.691023513674736,17,True
SD3,transformer_blocks.20,0.5,487,2,0.6777655929327011,18,True
SD3,transformer_blocks.20,0.5,1489,2,0.6752376705408096,19,True
SD3,transformer_blocks.20,0.5,345,2,0.6672575920820236,20,True
SD3,transformer_blocks.20,0.5,3051,2,0.659350261092186,21,True
SD3,transformer_blocks.20,0.5,1197,2,0.6443712562322617,22,True
SD3,transformer_blocks.20,0.5,3882,1,0.6826995015144348,23,True
SD3,transformer_blocks.20,0.5,2290,1,0.6516616940498352,24,True
SD3,transformer_blocks.20,1.0,492,34,0.6914527468821582,1,True
SD3,transformer_blocks.20,1.0,3968,32,0.6893702549859881,2,True
SD3,transformer_blocks.20,1.0,805,15,0.6684964597225189,3,True
SD3,transformer_blocks.20,1.0,1636,14,0.6769012787512371,4,True
SD3,transformer_blocks.20,1.0,1615,13,0.6831796283905323,5,True
SD3,transformer_blocks.20,1.0,1105,6,0.6688104520241419,6,True
SD3,transformer_blocks.20,1.0,2139,3,0.6707410415013632,7,True
SD3,transformer_blocks.20,1.0,3884,3,0.6636765599250793,8,True
SD3,transformer_blocks.20,1.0,2588,2,0.7036544680595398,9,True
SD3,transformer_blocks.20,1.0,2311,2,0.683929055929184,10,True
SD3,transformer_blocks.20,1.0,337,1,0.6754231452941895,11,True
SD3,transformer_blocks.20,1.0,3804,1,0.6618457734584808,12,True
SD3,transformer_blocks.20,1.0,3051,1,0.6563338339328766,13,True
SD3,transformer_blocks.20,1.0,2730,1,0.6384660005569458,14,True
SD3,transformer_blocks.4,0.0,2402,129,0.6787417773590532,1,True
SD3,transformer_blocks.4,0.5,2402,119,0.6767521533144623,1,True
SD3,transformer_blocks.4,0.5,3259,5,0.6679669797420502,2,True
SD3,transformer_blocks.4,0.5,2482,4,0.6885438486933708,3,True
SD3,transformer_blocks.4,1.0,2402,40,0.680472506582737,1,True
SD3,transformer_blocks.4,1.0,116,21,0.6519442754132407,2,True
SD3,transformer_blocks.4,1.0,14,13,0.6670388075021597,3,True
SD3,transformer_blocks.4,1.0,2329,9,0.6525827513800727,4,True
SD3,transformer_blocks.4,1.0,3598,7,0.7077707435403552,5,True
SD3,transformer_blocks.4,1.0,1577,7,0.6748380703585488,6,True
SD3,transformer_blocks.4,1.0,986,5,0.6587919473648072,7,True
SD3,transformer_blocks.4,1.0,3259,3,0.6659967998663584,8,True
SD3,transformer_blocks.4,1.0,737,3,0.6649878621101379,9,True
SD3,transformer_blocks.4,1.0,2482,2,0.697671189904213,10,True
SD3,transformer_blocks.4,1.0,2893,2,0.6846977025270462,11,True
SD3,transformer_blocks.4,1.0,2478,2,0.6762706637382507,12,True
SD3,transformer_blocks.4,1.0,1339,2,0.6759752631187439,13,True
SD3,transformer_blocks.4,1.0,1955,2,0.6677233427762985,14,True
SD3,transformer_blocks.4,1.0,3982,1,0.6871325373649597,15,True
SD3,transformer_blocks.4,1.0,1430,1,0.6804706454277039,16,True
SD3,transformer_blocks.4,1.0,3860,1,0.6801930367946625,17,True
SD3,transformer_blocks.4,1.0,1096,1,0.6775279939174652,18,True
SD3,transformer_blocks.4,1.0,317,1,0.6740768849849701,19,True
SD3,transformer_blocks.4,1.0,24,1,0.6688034534454346,20,True
SD3,transformer_blocks.4,1.0,3708,1,0.6667245030403137,21,True
SD3,transformer_blocks.4,1.0,856,1,0.6599583923816681,22,True
SD3,transformer_blocks.4,1.0,2530,1,0.657946914434433,23,True
SD3,transformer_blocks.4,1.0,2425,1,0.6546819508075714,24,True
SD3,transformer_blocks.8,0.0,3823,126,0.7051333865476033,1,True
SD3,transformer_blocks.8,0.0,1739,2,0.7066776007413864,2,True
SD3,transformer_blocks.8,0.5,352,25,0.6369096648693084,1,True
SD3,transformer_blocks.8,0.5,2985,14,0.6854340604373387,2,True
SD3,transformer_blocks.8,0.5,3276,11,0.6302689584818754,3,True
SD3,transformer_blocks.8,0.5,1175,8,0.6602323688566685,4,True
SD3,transformer_blocks.8,0.5,1620,7,0.6889482821737017,5,True
SD3,transformer_blocks.8,0.5,2500,5,0.7280889332294465,6,True
SD3,transformer_blocks.8,0.5,2581,5,0.6682555377483368,7,True
SD3,transformer_blocks.8,0.5,3913,4,0.652251347899437,8,True
SD3,transformer_blocks.8,0.5,3752,3,0.6929836372534434,9,True
SD3,transformer_blocks.8,0.5,2614,3,0.681495596965154,10,True
SD3,transformer_blocks.8,0.5,1548,3,0.6737082302570343,11,True
SD3,transformer_blocks.8,0.5,3098,3,0.6725636720657349,12,True
SD3,transformer_blocks.8,0.5,4018,3,0.6367873152097067,13,True
SD3,transformer_blocks.8,0.5,3943,2,0.715106874704361,14,True
SD3,transformer_blocks.8,0.5,3442,2,0.7036228775978088,15,True
SD3,transformer_blocks.8,0.5,2593,2,0.7017434984445572,16,True
SD3,transformer_blocks.8,0.5,2233,2,0.7003354579210281,17,True
SD3,transformer_blocks.8,0.5,122,2,0.6874178797006607,18,True
SD3,transformer_blocks.8,0.5,2555,2,0.6853503882884979,19,True
SD3,transformer_blocks.8,0.5,1751,2,0.6624581664800644,20,True
SD3,transformer_blocks.8,0.5,2627,2,0.659677654504776,21,True
SD3,transformer_blocks.8,0.5,3612,2,0.6520495414733887,22,True
SD3,transformer_blocks.8,0.5,1439,2,0.6513698101043701,23,True
SD3,transformer_blocks.8,0.5,2524,1,0.712272584438324,24,True
SD3,transformer_blocks.8,0.5,1739,1,0.7024554312229156,25,True
SD3,transformer_blocks.8,0.5,3323,1,0.7019681930541992,26,True
SD3,transformer_blocks.8,0.5,782,1,0.6968023777008057,27,True
SD3,transformer_blocks.8,0.5,4078,1,0.6833925247192383,28,True
SD3,transformer_blocks.8,0.5,2014,1,0.6812417805194855,29,True
SD3,transformer_blocks.8,0.5,294,1,0.6771476566791534,30,True
SD3,transformer_blocks.8,0.5,1066,1,0.6685203909873962,31,True
SD3,transformer_blocks.8,0.5,589,1,0.6619369387626648,32,True
SD3,transformer_blocks.8,0.5,3659,1,0.6572915613651276,33,False
SD3,transformer_blocks.8,0.5,2890,1,0.6453835666179657,34,False
SD3,transformer_blocks.8,0.5,2186,1,0.6374907493591309,35,False
SD3,transformer_blocks.8,0.5,732,1,0.6252009272575378,36,False
SD3,transformer_blocks.8,0.5,935,1,0.612520843744278,37,False
SD3,transformer_blocks.8,1.0,2593,75,0.6808641803264618,1,True
SD3,transformer_blocks.8,1.0,79,27,0.6880000829696655,2,True
SD3,transformer_blocks.8,1.0,1345,15,0.6748210926850636,3,True
SD3,transformer_blocks.8,1.0,1066,7,0.6574556486947196,4,True
SD3,transformer_blocks.8,1.0,2555,2,0.6649740487337112,5,True
SD3,transformer_blocks.8,1.0,981,1,0.6382744908332825,6,True
SD3,transformer_blocks.8,1.0,4018,1,0.5928367376327515,7,True
